1.0 A .1 0. 0.
1.05 G 0. 0. 0.
1.1 A 0. 0. 0.
1.15 G 0. 0. 0.
1.2 A 0. 0. 0.
1.25 G 0. 0. 0.
1.3 A 0. 0. 0.
1.35 G 0. 0. 0.
1.4 A 0. 0. 0.
1.45 G 0. 0. 1.
1.5 A 0. .0025 0.
1.55 G 0. 0. 1.
1.6 A 0. .0025 0.
1.65 G 0. 0. 1.
1.7 A 0. .0025 0.
1.75 G 0. 0. 1.
1.8 A 0. .0025 0.
1.85 G 0. 0. 1.
1.9 A 0. .0025 0.
1.95 G 0. 0. 1.
2.0 A 0. .0025 0.
2.05 G 0. 0. 1.
2.1 A 0. .0025 0.
2.15 G 0. 0. 1.
2.2 A 0. .0025 0.
2.25 G 0. 0. 1.
2.3 A 0. .0025 0.
2.35 G 0. 0. 1.
2.4 A 0. .0025 0.
2.45 G 0. 0. 1.
2.5 A 0. .0025 0.
2.55 G 0. 0. 1.
2.6 A 0. .0025 0.
2.65 G 0. 0. 1.
2.7 A 0. .0025 0.
2.75 G 0. 0. 1.
2.8 A 0. .0025 0.
2.85 G 0. 0. 1.
2.9 A 0. .0025 0.
2.95 G 0. 0. 1.
3.0 A 0. .0025 0.
3.05 G 0. 0. 1.
3.1 A 0. .0025 0.
3.15 G 0. 0. 1.
3.2 A 0. .0025 0.
3.25 G 0. 0. 1.
3.3 A 0. .0025 0.
3.35 G 0. 0. 1.
3.4 A 0. .0025 0.
3.45 G 0. 0. 1.
3.5 A 0. .0025 0.
3.55 G 0. 0. 1.
3.6 A 0. .0025 0.
3.65 G 0. 0. 1.
3.7 A 0. .0025 0.
3.75 G 0. 0. 1.
3.8 A 0. .0025 0.
3.85 G 0. 0. 1.
3.9 A 0. .0025 0.
3.95 G 0. 0. 1.
4.0 A 0. .0025 0.
4.05 G 0. 0. 1.
4.1 A 0. .0025 0.
4.15 G 0. 0. 1.
4.2 A 0. .0025 0.
4.25 G 0. 0. 1.
4.3 A 0. .0025 0.
4.35 G 0. 0. 1.
4.4 A 0. .0025 0.
4.45 G 0. 0. 1.
4.5 A 0. .0025 0.
4.55 G 0. 0. 1.
4.6 A 0. .0025 0.
4.65 G 0. 0. 1.
4.7 A 0. .0025 0.
4.75 G 0. 0. 1.
4.8 A 0. .0025 0.
4.85 G 0. 0. 1.
4.9 A 0. .0025 0.
4.95 G 0. 0. 1.
5.0 A 0. .0025 0.
5.05 G 0. 0. 1.
5.1 A 0. .0025 0.
5.15 G 0. 0. 1.
5.2 A 0. .0025 0.
5.25 G 0. 0. 1.
5.3 A 0. .0025 0.
5.35 G 0. 0. 1.
5.4 A 0. .0025 0.
5.45 G 0. 0. 1.
5.5 A 0. .0025 0.
5.55 G 0. 0. 1.
5.6 A 0. .0025 0.
5.65 G 0. 0. 1.
5.7 A 0. .0025 0.
5.75 G 0. 0. 1.
5.8 A 0. .0025 0.
5.85 G 0. 0. 1.
5.9 A 0. .0025 0.
5.95 G 0. 0. 1.
6.0 A 0. .0025 0.
6.05 G 0. 0. 1.
6.1 A 0. .0025 0.
6.15 G 0. 0. 1.
6.2 A 0. .0025 0.
6.25 G 0. 0. 1.
6.3 A 0. .0025 0.
6.35 G 0. 0. 1.
6.4 A 0. .0025 0.
6.45 G 0. 0. 1.
6.5 A 0. .0025 0.
6.55 G 0. 0. 1.
6.6 A 0. .0025 0.
6.65 G 0. 0. 1.
6.7 A 0. .0025 0.
6.75 G 0. 0. 1.
6.8 A 0. .0025 0.
6.85 G 0. 0. 1.
6.9 A 0. .0025 0.
6.95 G 0. 0. 1.
7.0 A 0. .0025 0.
7.05 G 0. 0. 1.
7.1 A 0. .0025 0.
7.15 G 0. 0. 1.
7.2 A 0. .0025 0.
7.25 G 0. 0. 1.
7.3 A 0. .0025 0.
7.35 G 0. 0. 1.
7.4 A 0. .0025 0.
7.45 G 0. 0. 1.
7.5 A 0. .0025 0.
7.55 G 0. 0. 1.
7.6 A 0. .0025 0.
7.65 G 0. 0. 1.
7.7 A 0. .0025 0.
7.75 G 0. 0. 1.
7.8 A 0. .0025 0.
